%*****************************
%          -----------------------
%********* PECs Fe XV .threshold 1.e4
%          -----------------------
1)Emissivity for levels 2<-11 (s1p10100<-s1d10102) Wavelength 224.7540 (A)
  n_e	                      T_e  (eV) 
6.0e13	     3.07e+04  5.62e+04  6.52e+04  6.85e+04  6.95e+04  6.87e+04	6.68e+04  6.46e+04
1.0e14	     5.11e+04  9.35e+04  1.09e+05  1.14e+05  1.16e+05  1.14e+05	1.11e+05  1.08e+05
3.0e14	     1.53e+05  2.79e+05  3.24e+05  3.41e+05  3.46e+05  3.42e+05	3.32e+05  3.22e+05
6)Emissivity for levels 1<-5 (g3s20000<-s1p10002) Wavelength 284.1630 (A)
  n_e	                        T_e  (eV)
284.163           50       100       150       200       250       350		450       550
1.0e12	     1.62e+04  1.92e+04  1.91e+04  1.86e+04  1.81e+04  1.71e+04	1.63e+04  1.56e+04
3.0e12	     4.86e+04  5.75e+04  5.73e+04  5.59e+04  5.43e+04  5.13e+04	4.90e+04  4.69e+04
6.0e12	     9.71e+04  1.15e+05  1.15e+05  1.12e+05  1.08e+05  1.03e+05	9.79e+04  9.37e+04
1.0e13	     1.62e+05  1.92e+05  1.91e+05  1.86e+05  1.81e+05  1.71e+05	1.63e+05  1.56e+05
3.0e13	     4.85e+05  5.74e+05  5.73e+05  5.59e+05  5.42e+05  5.12e+05	4.89e+05  4.68e+05
6.0e13	     9.70e+05  1.15e+06  1.14e+06  1.12e+06  1.08e+06  1.02e+06	9.78e+05  9.36e+05
1.0e14	     1.61e+06  1.91e+06  1.90e+06  1.86e+06  1.80e+06  1.70e+06	1.63e+06  1.56e+06
3.0e14	     4.82e+06  5.70e+06  5.68e+06  5.55e+06  5.39e+06  5.09e+06	4.86e+06  4.66e+06
7)Emissivity for levels 3<-8 (s1p10102<-x3p20104) Wavelength 292.2750 (A)
  n_e	                        T_e  (eV)
292.275           50       100       150       200       250       350 450       550
1.0e12	     4.75e+01  5.48e+01  5.28e+01  4.95e+01  4.65e+01  4.16e+01	3.80e+01  3.51e+01
3.0e12	     1.44e+02  1.66e+02  1.60e+02  1.50e+02  1.40e+02  1.26e+02	1.15e+02  1.06e+02
6.0e12	     2.88e+02  3.32e+02  3.20e+02  3.00e+02  2.82e+02  2.53e+02	2.31e+02  2.13e+02
1.0e13	     4.82e+02  5.55e+02  5.35e+02  5.02e+02  4.71e+02  4.22e+02	3.86e+02  3.57e+02
3.0e13	     1.46e+03  1.68e+03  1.62e+03  1.52e+03  1.43e+03  1.28e+03	1.17e+03  1.08e+03
6.0e13	     2.96e+03  3.42e+03  3.29e+03  3.08e+03  2.89e+03  2.59e+03	2.37e+03  2.19e+03
1.0e14	     5.03e+03  5.81e+03  5.59e+03  5.24e+03  4.91e+03  4.40e+03	4.01e+03  3.70e+03
3.0e14	     1.64e+04  1.91e+04  1.83e+04  1.71e+04  1.60e+04  1.43e+04	1.30e+04  1.20e+04
8)Emissivity for levels 2<-7 (s1p10100<-x3p20102) Wavelength 302.3340 (A)
  n_e	                        T_e  (eV)
302.334           50       100       150       200       250       350	450       550
1.0e12	     4.15e+01  4.66e+01  4.45e+01  4.16e+01  3.90e+01  3.50e+01	3.20e+01  2.96e+01
3.0e12	     1.25e+02  1.41e+02  1.34e+02  1.26e+02  1.18e+02  1.06e+02	9.66e+01  8.93e+01
6.0e12	     2.51e+02  2.82e+02  2.70e+02  2.52e+02  2.36e+02  2.12e+02	1.94e+02  1.79e+02
1.0e13	     4.20e+02  4.72e+02  4.50e+02  4.21e+02  3.95e+02  3.54e+02	3.24e+02  2.99e+02
3.0e13	     1.27e+03  1.43e+03  1.36e+03  1.28e+03  1.20e+03  1.07e+03	9.81e+02  9.07e+02
6.0e13	     2.58e+03  2.90e+03  2.77e+03  2.59e+03  2.43e+03  2.18e+03	1.99e+03  1.84e+03
1.0e14	     4.38e+03  4.94e+03  4.71e+03  4.40e+03  4.12e+03  3.69e+03	3.37e+03  3.12e+03
3.0e14	     1.43e+04  1.63e+04  1.55e+04  1.44e+04  1.35e+04  1.20e+04	1.10e+04  1.01e+04
9)Emissivity for levels 4<-8 (s1p10004<-x3p20104) Wavelength 304.8940 (A)
  n_e	                        T_e  (eV)
304.998           50       100       150       200       250       350	450       550
1.0e12	     1.15e+02  1.33e+02  1.28e+02  1.20e+02  1.13e+02  1.01e+02	9.22e+01  8.52e+01
3.0e12	     3.48e+02  4.02e+02  3.87e+02  3.63e+02  3.41e+02  3.06e+02	2.79e+02  2.58e+02
6.0e12	     6.99e+02  8.06e+02  7.76e+02  7.28e+02  6.84e+02  6.13e+02	5.60e+02  5.18e+02
1.0e13	     1.17e+03  1.35e+03  1.30e+03  1.22e+03  1.14e+03  1.02e+03	9.36e+02  8.65e+02
3.0e13	     3.54e+03  4.08e+03  3.93e+03  3.69e+03  3.46e+03  3.10e+03	2.83e+03  2.62e+03
6.0e13	     7.18e+03  8.29e+03  7.98e+03  7.48e+03  7.02e+03  6.29e+03	5.74e+03  5.31e+03
1.0e14	     1.22e+04  1.41e+04  1.36e+04  1.27e+04  1.19e+04  1.07e+04	9.73e+03  8.99e+03
3.0e14	     3.99e+04  4.63e+04  4.44e+04  4.15e+04  3.89e+04  3.47e+04	3.16e+04  2.91e+04
10)Emissivity for levels 3<-7 (s1p10102<-x3p20102) Wavelength 307.7470 (A)
  n_e	                       T_e  (eV) 
307.78      50       100       150       200       250       350       450       550
1.0e12	    2.92e+01  3.29e+01  3.14e+01  2.93e+01  2.75e+01  2.46e+01  2.25e+01  2.08e+01
3.0e12	    8.83e+01  9.92e+01  9.47e+01  8.85e+01  8.30e+01  7.45e+01  6.81e+01  6.30e+01
6.0e12	    1.77e+02  1.99e+02  1.90e+02  1.78e+02  1.66e+02  1.49e+02  1.37e+02  1.26e+02
1.0e13	    2.96e+02  3.32e+02  3.17e+02  2.97e+02  2.78e+02  2.50e+02  2.28e+02  2.11e+02
3.0e13	    8.97e+02  1.01e+03  9.62e+02  8.99e+02  8.43e+02  7.56e+02  6.91e+02  6.39e+02
6.0e13	    1.82e+03  2.05e+03  1.95e+03  1.83e+03  1.71e+03  1.53e+03  1.40e+03  1.30e+03
1.0e14	    3.09e+03  3.48e+03  3.32e+03  3.10e+03  2.91e+03  2.60e+03  2.38e+03  2.20e+03
3.0e14	    1.01e+04  1.15e+04  1.09e+04  1.02e+04  9.52e+03  8.50e+03  7.74e+03  7.14e+03
11)Emissivity for levels 4<-7 (s1p10004<-x3p20102) Wavelength 321.7690 (A)
  n_e	                        T_e  (eV)
321.769           50       100       150       200       250       350 450       550
1.0e12	     4.27e+01  4.80e+01  4.58e+01  4.28e+01  4.01e+01  3.60e+01	3.29e+01  3.04e+01
3.0e12	     1.29e+02  1.45e+02  1.38e+02  1.29e+02  1.21e+02  1.09e+02	9.94e+01  9.19e+01
6.0e12	     2.58e+02  2.90e+02  2.77e+02  2.59e+02  2.43e+02  2.18e+02	1.99e+02  1.84e+02
1.0e13	     4.32e+02  4.85e+02  4.63e+02  4.33e+02  4.06e+02  3.64e+02	3.33e+02  3.08e+02
3.0e13	     1.31e+03  1.47e+03  1.40e+03  1.31e+03  1.23e+03  1.10e+03	1.01e+03  9.33e+02
6.0e13	     2.66e+03  2.99e+03  2.85e+03  2.66e+03  2.50e+03  2.24e+03	2.05e+03  1.89e+03
1.0e14	     4.51e+03  5.08e+03  4.85e+03  4.53e+03  4.24e+03  3.80e+03	3.47e+03  3.20e+03
3.0e14	     1.48e+04  1.67e+04  1.60e+04  1.49e+04  1.39e+04  1.24e+04	1.13e+04  1.04e+04
12)Emissivity for levels 1<-3 (g3s20000<-s1p10102) Wavelength 417.2580 (A)
  n_e	                        T_e  (eV)
417.258           50       100       150       200       250       350	450       550
1.0e12	     3.39e+02  3.62e+02  3.46e+02  3.27e+02  3.10e+02  2.84e+02	2.64e+02  2.49e+02
3.0e12	     1.02e+03  1.09e+03  1.04e+03  9.81e+02  9.29e+02  8.51e+02	7.93e+02  7.47e+02
6.0e12	     2.03e+03  2.17e+03  2.08e+03  1.96e+03  1.86e+03  1.70e+03	1.58e+03  1.49e+03
1.0e13	     3.38e+03  3.62e+03  3.46e+03  3.27e+03  3.10e+03  2.84e+03	2.64e+03  2.49e+03
3.0e13	     1.01e+04  1.08e+04  1.04e+04  9.79e+03  9.28e+03  8.50e+03	7.92e+03  7.46e+03
6.0e13	     2.02e+04  2.16e+04  2.07e+04  1.96e+04  1.85e+04  1.70e+04	1.58e+04  1.49e+04
1.0e14	     3.37e+04  3.60e+04  3.44e+04  3.25e+04  3.08e+04  2.82e+04	2.63e+04  2.48e+04
3.0e14	     9.99e+04  1.07e+05  1.02e+05  9.65e+04  9.16e+04  8.40e+04	7.83e+04  7.39e+04
%*****************************
%          ----------
%********* PEC Fe XVI.
%          ----------
1)Emissivity for levels 2<-4 (s0p10101<-s0d10103) Wavelength 251.0630 (A)
  n_e	                        T_e  (eV)
251.074           60       100       150       200       250       350	500       700
1.0e12	     1.38e+02  1.95e+02  2.21e+02  2.30e+02  2.32e+02  2.28e+02	2.18e+02  2.04e+02
3.0e12	     4.14e+02  5.85e+02  6.64e+02  6.89e+02  6.94e+02  6.83e+02	6.53e+02  6.13e+02
6.0e12	     8.28e+02  1.17e+03  1.33e+03  1.38e+03  1.39e+03  1.37e+03	1.30e+03  1.23e+03
1.0e13	     1.38e+03  1.95e+03  2.21e+03  2.30e+03  2.32e+03  2.28e+03	2.18e+03  2.04e+03
3.0e13	     4.14e+03  5.86e+03  6.64e+03  6.90e+03  6.95e+03  6.83e+03	6.53e+03  6.13e+03
6.0e13	     8.28e+03  1.17e+04  1.33e+04  1.38e+04  1.39e+04  1.37e+04	1.30e+04  1.23e+04
1.0e14	     1.38e+04  1.95e+04  2.22e+04  2.30e+04  2.32e+04  2.28e+04	2.18e+04  2.04e+04
3.0e14	     4.16e+04  5.88e+04  6.66e+04  6.91e+04  6.96e+04  6.84e+04	6.53e+04  6.13e+04
2)Emissivity for levels 3<-5 (s0p10003<-s0d10005) Wavelength 262.9760 (A)
  n_e	                        T_e  (eV)
262.984           60       100       150       200       250       350	500       700
1.0e12	     2.41e+02  3.42e+02  3.88e+02  4.04e+02  4.07e+02  4.01e+02	3.85e+02  3.62e+02
3.0e12	     7.23e+02  1.02e+03  1.16e+03  1.21e+03  1.22e+03  1.20e+03	1.15e+03  1.09e+03
6.0e12	     1.45e+03  2.05e+03  2.33e+03  2.42e+03  2.44e+03  2.41e+03	2.31e+03  2.17e+03
1.0e13	     2.41e+03  3.42e+03  3.88e+03  4.04e+03  4.07e+03  4.01e+03	3.85e+03  3.62e+03
3.0e13	     7.24e+03  1.03e+04  1.16e+04  1.21e+04  1.22e+04  1.20e+04	1.16e+04  1.09e+04
6.0e13	     1.45e+04  2.05e+04  2.33e+04  2.42e+04  2.44e+04  2.41e+04	2.31e+04  2.18e+04
1.0e14	     2.41e+04  3.42e+04  3.89e+04  4.04e+04  4.08e+04  4.02e+04	3.85e+04  3.63e+04
3.0e14	     7.26e+04  1.03e+05  1.17e+05  1.22e+05  1.22e+05  1.21e+05	1.16e+05  1.09e+05
3)Emissivity for levels 3<-4 (s0p10003<-s0d10103) Wavelength 265.0000 (A)
  n_e	                        T_e  (eV)
265.014           60       100       150       200       250       350	500       700
1.0e12	     0.00e+00  0.00e+00  3.77e+01  3.91e+01  3.94e+01  3.88e+01	3.71e+01  3.48e+01
3.0e12	     0.00e+00  0.00e+00  1.13e+02  1.17e+02  1.18e+02  1.16e+02	1.11e+02  1.04e+02
6.0e12	     0.00e+00  0.00e+00  2.26e+02  2.35e+02  2.37e+02  2.33e+02	2.22e+02  2.09e+02
1.0e13	     0.00e+00  0.00e+00  3.77e+02  3.91e+02  3.94e+02  3.88e+02	3.70e+02  3.48e+02
3.0e13	     0.00e+00  0.00e+00  1.13e+03  1.17e+03  1.18e+03  1.16e+03	1.11e+03  1.04e+03
6.0e13	     0.00e+00  0.00e+00  2.26e+03  2.35e+03  2.37e+03  2.33e+03	2.22e+03  2.09e+03
1.0e14	     0.00e+00  0.00e+00  3.77e+03  3.92e+03  3.94e+03  3.88e+03	3.70e+03  3.48e+03
3.0e14	     0.00e+00  0.00e+00  1.14e+04  1.18e+04  1.19e+04  1.16e+04	1.11e+04  1.04e+04
4)Emissivity for levels 1<-3 (g3s10001<-s0p10003) Wavelength 335.4090 (A)
  n_e	                        T_e  (eV)
335.409           60       100       150       200       250       350	500       700
1.0e12	     7.33e+03  7.67e+03  7.46e+03  7.16e+03  6.89e+03  6.44e+03	5.93e+03  5.49e+03
3.0e12	     2.20e+04  2.30e+04  2.24e+04  2.15e+04  2.07e+04  1.93e+04	1.78e+04  1.65e+04
6.0e12	     4.40e+04  4.60e+04  4.48e+04  4.30e+04  4.13e+04  3.86e+04	3.56e+04  3.30e+04
1.0e13	     7.33e+04  7.67e+04  7.46e+04  7.16e+04  6.89e+04  6.44e+04	5.93e+04  5.49e+04
3.0e13	     2.20e+05  2.30e+05  2.24e+05  2.15e+05  2.07e+05  1.93e+05	1.78e+05  1.65e+05
6.0e13	     4.40e+05  4.60e+05  4.48e+05  4.30e+05  4.13e+05  3.86e+05	3.55e+05  3.29e+05
1.0e14	     7.32e+05  7.66e+05  7.46e+05  7.16e+05  6.89e+05  6.43e+05	5.92e+05  5.48e+05
3.0e14	     2.20e+06  2.30e+06  2.24e+06  2.15e+06  2.06e+06  1.93e+06	1.77e+06  1.64e+06
5)Emissivity for levels 1<-2 (g3s10001<-s0p10101) Wavelength 360.7580 (A)
  n_e	                        T_e  (eV)
360.758           60       100       150       200       250       350	500       700
1.0e12	     3.89e+03  4.00e+03  3.87e+03  3.70e+03  3.55e+03  3.31e+03	3.05e+03  2.82e+03
3.0e12	     1.17e+04  1.20e+04  1.16e+04  1.11e+04  1.07e+04  9.94e+03	9.16e+03  8.48e+03
6.0e12	     2.33e+04  2.40e+04  2.32e+04  2.22e+04  2.13e+04  1.99e+04	1.83e+04  1.70e+04
1.0e13	     3.89e+04  4.00e+04  3.87e+04  3.70e+04  3.55e+04  3.31e+04	3.05e+04  2.82e+04
3.0e13	     1.17e+05  1.20e+05  1.16e+05  1.11e+05  1.06e+05  9.93e+04	9.15e+04  8.47e+04
6.0e13	     2.33e+05  2.40e+05  2.32e+05  2.22e+05  2.13e+05  1.99e+05	1.83e+05  1.69e+05
1.0e14	     3.89e+05  4.00e+05  3.86e+05  3.70e+05  3.55e+05  3.31e+05	3.05e+05  2.82e+05
